state,filing_status,tax_rate,income_ll,income_hl
Minnesota,single,0.068,31691,104090
Minnesota,single,0.0785,104091,193240
Minnesota,single,0.0985,193241,
Minnesota,head of household,0.0535,0,39010
Minnesota,head of household,0.068,39011,156760
Minnesota,head of household,0.0785,156761,256880
Minnesota,head of household,0.0985,256881,
Mississippi,single,0.047,0,0
Mississippi,married filing jointly,0.047,0,0
Mississippi,married filing separately,0.047,0,0
Mississippi,head of household,0.047,0,0
Missouri,single,0,0,1207
Missouri,single,0.02,1207.01,2414
Missouri,single,0.025,2414.01,3621
Missouri,single,0.03,3621.01,4828
Missouri,single,0.035,4828.01,6035
Missouri,single,0.04,6035.01,7242
Missouri,single,0.045,7242.01,8449
Missouri,single,0.0495,8449.01,
Missouri,head of household,0,0,1207
Missouri,head of household,0.02,1207.01,2414
Missouri,head of household,0.025,2414.01,3621
Missouri,head of household,0.03,3621.01,4828
Missouri,head of household,0.035,4828.01,6035
Missouri,head of household,0.04,6035.01,7242
Missouri,head of household,0.045,7242.01,8449
Missouri,head of household,0.0495,8449.01,
Missouri,married filing jointly,0,0,1207
Missouri,married filing jointly,0.02,1207.01,2414
Missouri,married filing jointly,0.025,2414.01,3621
Missouri,married filing jointly,0.03,3621.01,4828
Missouri,married filing jointly,0.035,4828.01,6035
Missouri,married filing jointly,0.04,6035.01,7242
Missouri,married filing jointly,0.045,7242.01,8449
Missouri,married filing jointly,0.0495,8449.01,
Missouri,married filing separately,0,0,1207
Missouri,married filing separately,0.02,1207.01,2414
Missouri,married filing separately,0.025,2414.01,3621
Missouri,married filing separately,0.03,3621.01,4828
Missouri,married filing separately,0.035,4828.01,6035
Missouri,married filing separately,0.04,6035.01,7242
Missouri,married filing separately,0.045,7242.01,8449
Missouri,married filing separately,0.0495,8449.01,
Montana,single,0.047,0,20500
Montana,single,0.059,20500.01,
Montana,married filing jointly,0.047,0,41000
Montana,married filing jointly,0.059,41000.01,
Montana,married filing separately,0.047,0,20500
Montana,married filing separately,0.059,20500.01,
Montana,head of household,0.047,0,30750
Montana,head of household,0.059,30750.01,
Nebraska,single,0.0246,0,3900
Nebraska,single,0.0351,3900.01,23370
Nebraska,single,0.0501,23370.01,37670
Nebraska,single,0.0684,37670.01,
Nebraska,married filing jointly,0.0246,0,7790
Nebraska,married filing jointly,0.0351,7790.01,46760
Nebraska,married filing jointly,0.0501,46760.01,75340
Nebraska,married filing jointly,0.0684,75340.01,
Nebraska,married filing separately,0.0246,0,3900
Nebraska,married filing separately,0.0351,3900.01,23370
Nebraska,married filing separately,0.0501,23370.01,37670
Nebraska,married filing separately,0.0684,37670.01,
Nebraska,head of household,0.0246,0,7270
Nebraska,head of household,0.0351,7270.01,37400
Nebraska,head of household,0.0501,37400.01,55850
Nebraska,head of household,0.0684,55850.01,
Nevada,single,0,0,0
Nevada,married filing jointly,0,0,0
Nevada,married filing separately,0,0,0
Nevada,head of household,0,0,0
New Hampshire,single,0,0,0
New Hampshire,married filing jointly,0,0,0
New Hampshire,married filing separately,0,0,0
New Hampshire,head of household,0,0,0
New Jersey,single,0.014,0,20000
New Jersey,single,0.0175,20001,35000
New Jersey,single,0.035,35001,40000
New Jersey,single,0.05525,40001,75000
New Jersey,single,0.0637,75001,500000
New Jersey,single,0.0897,500001,1000000
New Jersey,single,0.1075,1000001,
New Jersey,married filing jointly,0.014,0,20000
New Jersey,married filing jointly,0.0175,20001,50000
New Jersey,married filing jointly,0.0245,50001,70000
New Jersey,married filing jointly,0.035,70001,80000
New Jersey,married filing jointly,0.05525,80001,150000
New Jersey,married filing jointly,0.0637,150001,500000
New Jersey,married filing jointly,0.0897,500001,1000000
New Jersey,married filing jointly,0.1075,1000001,
New Jersey,married filing separately,0.014,0,20000
New Jersey,married filing separately,0.0175,20001,35000
New Jersey,married filing separately,0.035,35001,40000
New Jersey,married filing separately,0.05525,40001,75000
New Jersey,married filing separately,0.0637,75001,500000
New Jersey,married filing separately,0.0897,500001,1000000
New Jersey,married filing separately,0.1075,1000001,
New Jersey,head of household,0.014,0,20000
New Jersey,head of household,0.0175,20001,50000
New Jersey,head of household,0.0245,50001,70000
New Jersey,head of household,0.035,70001,80000
New Jersey,head of household,0.05525,80001,150000
New Jersey,head of household,0.0637,150001,500000
New Jersey,head of household,0.0897,500001,1000000
New Jersey,head of household,0.1075,1000001,
New Mexico,single,0.017,0,5500
New Mexico,single,0.032,5500.01,11000
New Mexico,single,0.047,11000.01,16000
New Mexico,single,0.049,16000.01,210000
New Mexico,single,0.059,210000.01,
New Mexico,married filing jointly,0.017,0,8000
New Mexico,married filing jointly,0.032,8000.01,16000
New Mexico,married filing jointly,0.047,16000.01,24000
New Mexico,married filing jointly,0.049,24000.01,315000
New Mexico,married filing jointly,0.059,315000.01,
New Mexico,married filing separately,0.017,0,4000
New Mexico,married filing separately,0.032,4000.01,8000
New Mexico,married filing separately,0.047,8000.01,12000
New Mexico,married filing separately,0.049,12000.01,157500
New Mexico,married filing separately,0.059,157500.01,
New Mexico,head of household,0.017,0,8000
New Mexico,head of household,0.032,8000.01,16000
New Mexico,head of household,0.047,16000.01,24000
New Mexico,head of household,0.049,24000.01,315000
New Mexico,head of household,0.059,315000.01,
New York,married filing jointly,0.04,0,17150
New York,married filing jointly,0.045,17151,23600
New York,married filing jointly,0.0525,23601,27900
New York,married filing jointly,0.055,27901,161550
New York,married filing jointly,0.06,161551,323200
New York,married filing jointly,0.0685,323201,2155350
New York,married filing jointly,0.0965,2155351,5000000
New York,married filing jointly,0.103,5000001,25000000
New York,married filing jointly,0.109,25000001,
New York,single,0.04,0,8500
New York,single,0.045,8501,11700
New York,single,0.0525,11701,13900
New York,single,0.055,13901,80650
New York,single,0.06,80651,215400
New York,single,0.0685,215401,1077550
New York,single,0.0965,1077551,5000000
New York,single,0.103,5000001,25000000
New York,single,0.109,25000001,
New York,married filing separately,0.04,0,8500
New York,married filing separately,0.045,8501,11700
New York,married filing separately,0.0525,11701,13900
New York,married filing separately,0.055,13901,80650
New York,married filing separately,0.06,80651,215400
New York,married filing separately,0.0685,215401,1077550
New York,married filing separately,0.0965,1077551,5000000
New York,married filing separately,0.103,5000001,25000000
New York,married filing separately,0.109,25000001,
New York,head of household,0.04,0,12800
New York,head of household,0.045,12801,17650
New York,head of household,0.0525,17651,20900
New York,head of household,0.055,20901,107650
New York,head of household,0.06,107651,269300
New York,head of household,0.0685,269301,1616450
New York,head of household,0.0965,1616451,5000000
New York,head of household,0.103,5000001,25000000
New York,head of household,0.109,25000001,
North Carolina,married filing jointly,0.045,0,0
North Carolina,single,0.045,0,0
North Carolina,married filing separately,0.045,0,0
North Carolina,head of household,0.045,0,0
North Dakota,single,0,0,44725
North Dakota,single,0.0195,44725.01,225975
North Dakota,single,0.025,225975.01,
North Dakota,married filing jointly,0,0,74750
North Dakota,married filing jointly,0.0195,74750.01,275100
North Dakota,married filing jointly,0.025,275100.01,
North Dakota,married filing separately,0,0,44725
North Dakota,married filing separately,0.0195,44725.01,225975
North Dakota,married filing separately,0.025,225975.01,
North Dakota,head of household,0,0,37375
North Dakota,head of household,0.0195,37375.01,137550
North Dakota,head of household,0.025,137550.01,
Ohio,single,0,0,26050
Ohio,single,0.0275,26051,100000
Ohio,single,0.03688,100001,115300
Ohio,single,0.0375,115301,
Ohio,married filing jointly,0,0,26050
Ohio,married filing jointly,0.0275,26051,100000
Ohio,married filing jointly,0.03688,100001,115300
Ohio,married filing jointly,0.0375,115301,
Ohio,married filing separately,0,0,26050
Ohio,married filing separately,0.0275,26051,100000
Ohio,married filing separately,0.03688,100001,115300
Ohio,married filing separately,0.0375,115301,
Ohio,head of household,0,0,26050
Ohio,head of household,0.0275,26051,100000
Ohio,head of household,0.03688,100001,115300
Ohio,head of household,0.0375,115301,
Oklahoma,single,0.0025,0,1000
Oklahoma,single,0.0075,1001,2500
Oklahoma,single,0.0175,2501,3750
Oklahoma,single,0.0275,3751,4900
Oklahoma,single,0.0375,4901,7200
Oklahoma,single,0.0475,7201,
Oklahoma,married filing jointly,0.0025,0,2000
Oklahoma,married filing jointly,0.0075,2001,5000
Oklahoma,married filing jointly,0.0175,5001,7500
Oklahoma,married filing jointly,0.0275,7501,9800
Oklahoma,married filing jointly,0.0375,9801,12200
Oklahoma,married filing jointly,0.0475,12201,
Oklahoma,married filing separately,0.0025,0,1000
Oklahoma,married filing separately,0.0075,1001,2500
Oklahoma,married filing separately,0.0175,2501,3750
Oklahoma,married filing separately,0.0275,3751,4900
Oklahoma,married filing separately,0.0375,4901,7200
Oklahoma,married filing separately,0.0475,7201,
Oklahoma,head of household,0.0025,0,2000
Oklahoma,head of household,0.0075,2001,5000
Oklahoma,head of household,0.0175,5001,7500
Oklahoma,head of household,0.0275,7501,9800
Oklahoma,head of household,0.0375,9801,12200
Oklahoma,head of household,0.0475,12201,
Oregon,single,0.0475,0,4050
Oregon,single,0.0675,4050.01,10200
Oregon,single,0.0875,10200.01,125000
Oregon,single,0.099,125000.01,
Oregon,married filing jointly,0.0475,0,8100
Oregon,married filing jointly,0.0675,8100.01,20400
Oregon,married filing jointly,0.0875,20400.01,250000
Oregon,married filing jointly,0.099,250000.01,
Oregon,married filing separately,0.0475,0,4050
Oregon,married filing separately,0.0675,4050.01,10200
Oregon,married filing separately,0.0875,10200.01,125000
Oregon,married filing separately,0.099,125000.01,
Oregon,head of household,0.0475,0,8100
Oregon,head of household,0.0675,8100.01,20400
Oregon,head of household,0.0875,20400.01,250000
Oregon,head of household,0.099,250000.01,
Pennsylvania,single,0.0307,0,0
Pennsylvania,married filing jointly,0.0307,0,0
Pennsylvania,married filing separately,0.0307,0,0
Pennsylvania,head of household,0.0307,0,0
Rhode Island,single,0.0375,0,77450
Rhode Island,single,0.0475,77451,176050
Rhode Island,single,0.0599,176050,
Rhode Island,married filing jointly,0.0375,0,77450
Rhode Island,married filing jointly,0.0475,77451,176050
Rhode Island,married filing jointly,0.0599,176050,
Rhode Island,married filing separately,0.0375,0,77450
Rhode Island,married filing separately,0.0475,77451,176050
Rhode Island,married filing separately,0.0599,176050,
Rhode Island,head of household,0.0375,0,77450
Rhode Island,head of household,0.0475,77451,176050
Rhode Island,head of household,0.0599,176050,
South Carolina,single,0,0,3460
South Carolina,single,0.03,3460,17330
South Carolina,single,0.063,17330,
South Carolina,married filing jointly,0,0,3460
South Carolina,married filing jointly,0.03,3460,17330
South Carolina,married filing jointly,0.063,17330,
South Carolina,married filing separately,0,0,3460
South Carolina,married filing separately,0.03,3460,17330
South Carolina,married filing separately,0.063,17330,
South Carolina,head of household,0,0,3460
South Carolina,head of household,0.03,3460,17330
South Carolina,head of household,0.063,17330,
South Dakota,single,0,0,0
South Dakota,married filing jointly,0,0,0
South Dakota,married filing separately,0,0,0
South Dakota,head of household,0,0,0
Tennessee,single,0,0,0
Tennessee,married filing jointly,0,0,0
Tennessee,married filing separately,0,0,0
Tennessee,head of household,0,0,0
Texas,single,0,0,0
Texas,married filing jointly,0,0,0
Texas,married filing separately,0,0,0
Texas,head of household,0,0,0
Utah,single,0.0465,0,0
Utah,married filing jointly,0.0465,0,0
Utah,married filing separately,0.0465,0,0
Utah,head of household,0.0465,0,0
Vermont,single,0.0335,0,45400
Vermont,single,0.066,45401,75000
Vermont,single,0.066,75001,110050
Vermont,single,0.076,110051,229550
Vermont,single,0.0875,229551,
Vermont,married filing jointly,0.0335,0,75000
Vermont,married filing jointly,0.0335,75001,75850
Vermont,married filing jointly,0.066,75851,183400
Vermont,married filing jointly,0.076,183401,279450
Vermont,married filing jointly,0.0875,279451,
Vermont,married filing separately,0.0335,0,37925
Vermont,married filing separately,0.066,37926,75000
Vermont,married filing separately,0.066,75001,91700
Vermont,married filing separately,0.076,91701,139725
Vermont,married filing separately,0.0875,139726,
Vermont,head of household,0.0335,0,60850
Vermont,head of household,0.066,60851,75000
Vermont,head of household,0.066,75001,157150
Vermont,head of household,0.076,157151,254500
Vermont,head of household,0.0875,254501,
Virginia,single,0.02,0,3000
Virginia,single,0.03,3000,5000
Virginia,single,0.05,5000,17000
Virginia,single,0.0575,17000,
Virginia,married filing jointly,0.02,0,3000
Virginia,married filing jointly,0.03,3000,5000
Virginia,married filing jointly,0.05,5000,17000
Virginia,married filing jointly,0.0575,17000,
Virginia,married filing separately,0.02,0,3000
Virginia,married filing separately,0.03,3000,5000
Virginia,married filing separately,0.05,5000,17000
Virginia,married filing separately,0.0575,17000,
Virginia,head of household,0.02,0,3000
Virginia,head of household,0.03,3000,5000
Virginia,head of household,0.05,5000,17000
Virginia,head of household,0.0575,17000,
Washington,single,0,0,0
Washington,married filing jointly,0,0,0
Washington,married filing separately,0,0,0
Washington,head of household,0,0,0
West Virginia,single,0.0236,0,10000
West Virginia,single,0.0315,10001,25000
West Virginia,single,0.0354,25001,40000
West Virginia,single,0.0472,40001,60000
West Virginia,single,0.0512,60001,
West Virginia,married filing jointly,0.0236,0,10000
West Virginia,married filing jointly,0.0315,10001,25000
West Virginia,married filing jointly,0.0354,25001,40000
West Virginia,married filing jointly,0.0472,40001,60000
West Virginia,married filing jointly,0.0512,60001,
West Virginia,head of household,0.0236,0,10000
West Virginia,head of household,0.0315,10001,25000
West Virginia,head of household,0.0354,25001,40000
West Virginia,head of household,0.0472,40001,60000
West Virginia,head of household,0.0512,60001,
West Virginia,married filing separately,0.0236,0,5000
West Virginia,married filing separately,0.0315,5001,12500
West Virginia,married filing separately,0.0354,12501,20000
West Virginia,married filing separately,0.0472,20001,30000
West Virginia,married filing separately,0.0512,30001,
Wisconsin,single,0.035,0,13810
Wisconsin,single,0.044,13811,27630
Wisconsin,single,0.053,27631,304170
Wisconsin,single,0.0765,304171,
Wisconsin,married filing jointly,0.035,0,18420
Wisconsin,married filing jointly,0.044,18421,36840
Wisconsin,married filing jointly,0.053,36841,405550
Wisconsin,married filing jointly,0.0765,405551,
Wisconsin,married filing separately,0.035,0,9210
Wisconsin,married filing separately,0.044,9211,18420
Wisconsin,married filing separately,0.053,18421,202780
Wisconsin,married filing separately,0.0765,202781,
Wisconsin,head of household,0.035,0,13810
Wisconsin,head of household,0.044,13811,27630
Wisconsin,head of household,0.053,27631,304170
Wisconsin,head of household,0.0765,304171,
Wyoming,single,0,0,0
Wyoming,married filing jointly,0,0,0
Wyoming,married filing separately,0,0,0
Wyoming,head of household,0,0,0