statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_iradist_num,total_iradist_amt,num_iradist_01,sum_iradist_01,num_iradist_05,sum_iradist_05,num_iradist_10,sum_iradist_10,num_iradist_25,sum_iradist_25,num_iradist_50,sum_iradist_50,num_iradist_75,sum_iradist_75,total_pension_num,total_pension_amt,num_pension_01,sum_pension_01,num_pension_05,sum_pension_05,num_pension_10,sum_pension_10,num_pension_25,sum_pension_25,num_pension_50,sum_pension_50,num_pension_75,sum_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
00,US,United States,148680717,1486807.00,7434036.00,14868072.0,37170179.00,74340359.0,111510538.00,699008,257507,172677,96633,48667,24089,14866570443,3829257221,6112768736,7653638978,10487145816,13061111469,14381589667,118843715,8922779301,1225895,1101506431,6305996,2505871951,12685831,3576782857,31563685,5617457201,62959627,7558355929,94349972,8597251783,47289627,99837056,1378581,52774871,5979759,67002249,10759450,74226137,22148895,85142715,34336160,93359282,41237398,96931790,30934415,379883320,1271857,193353012,5417352,268437914,9286795,301851039,17121470,342639201,24463891,366775350,28028101,374788535,27663930,433699768,401139,69875941,1839280,157325688,3415843,204220567,7559792,274787258,13315714,341416635,18973842,387010810,31668285,2026450515,1344253,1497837773,5654543,1770428628,9577650,1866521166,17401883,1962806150,24853109,2008527479,28679061,2021287474,15540782,405158486,274323,35680316,1510948,119453253,2973510,184203810,6784142,294109581,10939056,364506935,13230068,389911176,28969922,850075848,252706,19551145,1657735,111789547,3765074,225846933,10222122,487878184,18577417,715743019,23867801,804644451,8829551,1038769862,915210,723899764,2714852,925919226,3895777,977048624,5826135,1020258114,7408151,1038062879,8221807,1041128129,2206981061,993714143,1428370357,1651684154,1952983919,2147078043,2202707287
01,AL,Alabama,2014977,20150.00,100749.00,201498.0,503744.00,1007489.0,1511233.00,494573.24,201260.6,143872,83228,41339,20266,155456185,32172715,55013456,71909239,104694228,134560753,149731427,1635541,97356406,16658,7811831,85365,21615280,172936,33690700,429682,57701503,856764,80833868,1280854,93235928,557262,809893,18248,314574,75521,452215,134086,522869,271036,641167,408940,732436,488593,775588,292010,2758588,15863,1287652,60853,1896181,99082,2147370,173708,2469632,237440,2656203,268077,2718327,387720,4378381,6673,760129,27840,1757176,49520,2181832,106957,2869508,185797,3474180,265121,3806679,297121,14830845,16943,10731991,63679,12865481,102241,13582315,177312,14346636,241507,14697884,272553,14793054,187086,4303283,4463,425908,22228,1428926,40502,2085573,86007,3173583,133110,3864011,160988,4140633,439761,12189466,4178,293279,31351,1989208,66586,3630705,165069,7185239,286586,10212251,372349,11599997,95726,12466128,13827,9815616,36021,11646098,48478,12037327,68295,12381954,83467,12490552,90545,12496207,18870111,7695661,11414238,13529771,16492170,18385418,18855588
02,AK,Alaska,323074,3231.00,16154.00,32307.0,80769.00,161537.0,242306.00,550877.32,240705.35,174893.4,105643,55512.5,27668,29329645,4541996,8833290,12098777,18611553,24876208,28161314,265846,18352507,2625,1125621,13325,3468598,27133,5637602,68282,10218843,136752,14875230,207827,17523939,93332,153289,2948,51917,12219,81022,21426,95000,43504,118681,68868,139413,82394,147594,72414,499318,2501,174544,10150,290549,17435,344218,33739,414178,52073,464533,63277,485257,55642,1023708,960,152828,4380,342868,8142,457414,18406,659750,32034,846504,42980,959247,67276,2513350,2688,1447269,10848,1952935,18286,2145165,34324,2355967,51218,2466444,61035,2500537,28069,880404,698,91147,3736,318618,6809,454090,14158,679771,21806,819103,25298,860780,65465,2510723,802,62709,5466,410401,11537,770313,27811,1547076,47167,2214312,57526,2427818,18876,1906003,2127,1271444,5969,1682399,8313,1786251,12251,1874464,15841,1912227,17574,1913224,3806757,1134785,1901397,2372140,3100823,3618953,3786987
04,AZ,Arizona,3171966,31720.00,158598.00,317197.0,792992.00,1585983.0,2378975.00,611353,237384,161775,91117,46169,23965,284347174,63583482,107414458,137978882,194887108,246683604,273964454,2502212,168977666,25299,17262025,128706,42054618,258677,62047466,642846,101111420,1299078,139827390,1977616,162028273,816920,1755758,28363,769196,117822,1081434,204861,1237534,400639,1467509,597473,1629591,705314,1695290,595521,6697271,24975,3038641,105123,4451891,180162,5110767,332657,5942211,470276,6421919,534765,6578731,541806,8494168,8848,1259805,39625,2803809,72971,3677952,158304,5095894,272347,6507529,374721,7474072,645853,35867397,27864,24171563,116641,30446618,196942,32583568,357687,34627717,504990,35529991,578826,35762500,352618,9782624,6361,853958,35844,2939671,71021,4590248,160802,7279367,251596,8861779,299522,9418355,649944,19041001,6319,520718,41895,2744360,93755,5445748,246975,11475665,429971,16296902,537993,18056680,173322,20003267,19973,13744375,57887,17715955,81571,18759062,119848,19676026,148523,19987205,161943,20047739,38509054,15972001,23792846,27989741,33678279,37321143,38411347
05,AR,Arkansas,1218412,12184.00,60921.00,121841.0,304603.00,609206.0,913809.00,471817.58,192217.45,135235.9,78325.25,39577,20051,100531538,29475171,42854258,52522516,71139925,88260444,97175105,988541,56580704,10419,5063296,52155,13444069,103884,20166223,257247,33582691,516864,46863059,777051,54210193,320354,602523,10768,309243,44382,391546,77687,435897,154166,505595,231113,555191,276976,580002,180762,6179128,9207,5392566,36992,5699720,60422,5837363,106382,6014242,145291,6116224,164605,6153883,219976,2422380,3746,296271,15598,673290,28453,896947,62268,1303505,108049,1716775,150648,2038693,189121,15382423,9977,12889502,38897,14095565,63059,14541338,110180,15043704,150728,15278417,171713,15348234,113249,2493642,2251,193095,12123,729482,23559,1146202,51986,1809312,80201,2215978,96877,2389296,242209,6180027,2193,164080,15345,924126,34884,1799495,91130,3694257,159170,5236964,202644,5861385,67914,6456553,7718,4538934,22644,5758942,31955,6066354,46811,6337076,58005,6452871,63507,6471561,12455270,6311373,8464438,9615744,11180779,12175953,12446561
06,CA,California,17764476,177645.00,888224.00,1776448.0,4441119.00,8882238.0,13323357.00,919045.75,323709,205452.5,106422,51837,25864,2137841412,607914698,962358163,1187346331,1574269193,1907063958,2074455976,14137443,1299832333,148847,213126197,763873,440253163,1526834,597779885,3769667,878531486,7528435,1131677759,11301355,1260998992,6660380,12991359,167459,6364936,769648,8451180,1452179,9560067,3190533,11139672,5013140,12214628,5931076,12644239,3770379,50745397,153446,25386213,686012,35454403,1194738,40337903,2190659,46082724,3048057,49167248,3444031,50128627,3449361,63772179,41302,9947353,200138,21518081,391036,28709621,903868,39450045,1616499,49505034,2327646,56799981,4145087,323849186,163265,239503716,726002,285958097,1256358,301733150,2300850,315801328,3250482,321652000,3746886,323185271,1457750,43272776,26593,3969372,144657,12450310,298807,20059094,694493,32544998,1086101,39746486,1273343,41942665,2740536,99400700,24436,2039626,153107,11444471,365148,25765639,1045600,60589393,1878313,87340582,2329846,95507696,1078881,142422941,97616,92873695,314421,124469959,471928,133339024,721497,140073609,913233,142531437,1007850,142842510,360132902,165087786,241669128,278259625,325191704,351981245,359358972
08,CO,Colorado,2744702,27447.00,137235.00,274470.0,686176.00,1372351.0,2058527.00,768213.89,292454,196215,109306,56275,28778,305550684,73354814,120468123,152817728,212090266,266338258,294893358,2228206,179492773,22027,17836828,115261,44411242,233686,66230289,584412,108683384,1163816,149292065,1754882,172119709,920638,2274987,25514,1282491,111414,1585413,200897,1736801,416530,1970269,658288,2142149,796456,2214185,684720,7640184,23319,3230540,103419,4863995,184845,5668776,357707,6678516,530089,7298342,615474,7506474,526209,9282541,7715,980205,35434,2458910,67235,3488702,152907,5224464,268391,6995765,370097,8208315,707242,50791743,25174,35852330,110770,43519465,195159,46275211,369706,48964182,544611,50252064,635100,50620452,303026,8489426,4964,620293,27880,2212640,55484,3539173,128930,5946248,213864,7596620,258189,8149433,482002,15291425,4331,298859,27714,1706639,62105,3544318,169695,8276934,314533,12842404,401126,14499267,228692,21434108,18899,11776266,61525,17343165,93100,19076631,146313,20638297,190500,21337504,211903,21487307,45851099,18526994,27698213,32635357,39529159,44129671,45665249
09,CT,Connecticut,1681094,16811.00,84055.00,168109.0,420274.00,840547.0,1260821.00,1022498.58,328387.7,211480,115807,58341,28259.25,225520575,71138025,106140971,127828907,166579895,201414440,219120041,1333407,128685078,13717,21888059,71457,43688508,143756,58507398,357534,85941338,703735,110994640,1057386,124618367,596911,2603843,16161,1927652,71374,2162242,128282,2262286,268138,2408298,432195,2523657,522470,2570207,458643,7497952,15591,3975101,68915,5417406,122336,6051424,236296,6794834,355652,7261366,413932,7411357,294896,7877643,4586,1275821,23087,3160122,43175,4238658,93528,5596451,157011,6666504,213033,7329864,436142,38994837,15915,30581864,69691,34853175,121534,36421686,227973,37962149,338462,38725599,394820,38925337,217643,6055744,3043,561425,17746,1651177,36531,2609356,87315,4251557,150446,5433280,183584,5824607,354988,11021463,2678,222312,17400,1160995,41147,2471519,118386,5916205,227523,9304651,291870,10451613,96375,13540690,11185,8958282,32518,12064798,45667,12790517,65631,13323745,81884,13509379,90209,13556670,39858472,19699624,27365198,30870186,35668703,38821448,39760865
10,DE,Delaware,466174,4662.00,23309.00,46617.0,116544.00,233087.0,349631.00,548839.66,235625.2,168789.7,100087,51422,25692,41558844,7403215,13522889,18107086,27086129,35563245,39945479,366998,24966351,3740,2051595,19326,5643658,38686,8654428,94970,14573992,188538,20468094,286136,23864547,146173,196151,4260,60701,18102,95519,32456,114103,67550,148229,106442,175624,128059,187416,105014,1067954,3931,474405,16707,687900,29037,791153,55984,931704,82618,1021564,95394,1050961,70654,1082067,1187,166966,5147,384425,9263,501774,20426,683788,35740,860143,49617,972541,98881,3267856,4076,1862381,16848,2525522,28600,2785293,53455,3071616,77908,3219047,89970,3255058,64021,1720446,1110,137857,6290,492197,12124,752160,27915,1228456,46056,1554572,55501,1662636,120865,3767292,1142,81210,7776,518608,16782,1006549,43724,2152945,79464,3186867,101216,3574413,23120,2615757,2688,1888430,7223,2333627,9994,2443528,14981,2557882,19273,2607614,21460,2620746,5529312,1936324,3023581,3668159,4630354,5312978,5511086
11,DC,District of Columbia,331136,3311.00,16557.00,33114.0,82784.00,165568.0,248352.00,1071426.35,376778.5,243662,120878,62467,29856.75,45935896,12831943,20392910,25348997,33686691,40889737,44638581,279476,28154439,2434,3090159,13734,7726844,28319,11368985,72400,17980163,146904,24113406,220313,27244473,107445,241100,3199,137050,14375,175142,26505,193615,54825,218474,83420,232004,97994,237353,94620,1351624,3063,603470,13984,933073,25830,1080077,52234,1248483,78119,1318785,89153,1341635,62807,1473856,1005,317269,4539,695324,8479,898070,18127,1167854,30444,1315458,43078,1387338,90340,6612444,3128,4771020,13834,5725501,25225,6084900,50084,6438941,74115,6564720,84771,6599696,21406,780971,653,101279,3365,317473,6393,465701,12506,653638,17090,738491,19517,767175,43055,1885187,630,66196,3378,310695,6654,563169,15314,1073858,26360,1542974,35781,1797605,15991,3564709,2352,2585352,6290,3362994,8627,3493169,12059,3562062,14235,3574935,15273,3573577,8583259,3588964,5325484,6221882,7487178,8331258,8560567
12,FL,Florida,10194029,101940.00,509701.00,1019403.0,2548507.00,5097015.0,7645522.00,756238.88,245111.6,159966.2,85826,42038,20637,1050785893,356913220,513353253,612434558,788997775,943229688,1021374543,7734067,520159805,76218,68698622,391212,147434161,791018,207881052,1990925,324026811,4083576,438802781,6181607,501062072,2706648,9983512,94459,5911419,395253,7469724,690147,8129846,1346209,9005032,1979785,9553055,2353522,9790702,2001178,37619966,87019,21242277,362057,28800246,617894,31699128,1134956,34999768,1583840,36691081,1811217,37260913,2431639,28350800,26799,5177983,120005,10007879,223903,12378924,508846,16293592,980676,20596919,1555542,23836779,2127644,209579326,93422,165476163,391152,190557561,661976,198462445,1196602,205636043,1672039,208502594,1922873,209303074,1130497,34818904,24464,4226471,133553,13117195,258255,19129295,561495,27798880,835676,32276290,984137,33884020,2015383,61440583,22484,1904367,143060,10070867,319739,19841518,823376,40091004,1377248,54027517,1714070,59075599,842757,93389116,72961,64569739,226072,81719315,326966,86082460,502901,90448794,665430,92824865,765173,93431202,166435627,91942807,121551080,135441531,153254545,163677529,166336854
13,GA,Georgia,4596088,45961.00,229804.00,459609.0,1149022.00,2298044.0,3447066.00,621655.78,236304.95,159150,86680,42103,20103,405572372,99772618,163737764,207600699,287598633,357801681,392770116,3730052,253653519,39061,27627786,200659,68774835,401376,100340257,991111,159679372,1978970,215326253,2949248,244313234,1125751,2039469,41529,988684,169910,1315774,296062,1476863,577578,1731757,845656,1905299,998845,1981624,778252,8858151,38545,4382023,159297,6281378,267825,7109044,475062,8092734,643835,8608880,721194,8766687,1169355,9824437,12433,1502025,58266,3409790,111361,4392182,261388,5887169,501433,7413335,780067,8434359,802786,53587273,41018,41035285,166672,47764825,276362,50099955,482882,52346970,655922,53259169,740724,53496011,373629,9417384,8071,739358,43168,2843966,83918,4486102,184636,7117284,278102,8594739,329581,9138400,829736,23729528,7544,473213,50478,3120904,116787,6560563,318461,14379966,558044,20471073,710241,22758429,274868,31167433,30318,21262678,88376,27561995,125556,29141770,186525,30542140,234745,31123974,259041,31232085,56219445,24761176,36385457,42435370,50394299,55081552,56188307
15,HI,Hawaii,648871,6489.00,32444.00,64887.0,162218.00,324436.0,486653.00,541170.7,229419,165283,98581,52032,26971,56648324,9526320,17867458,24095285,36365409,48088277,54372932,502120,33251428,4854,2297250,25176,6493241,51517,10399691,131242,18688550,264435,27021145,401170,31801197,239273,353538,5866,162421,26268,210334,48589,238043,103996,283696,169002,322010,205840,338859,153465,1269216,5061,502145,22251,775932,39486,909413,76895,1081362,116536,1200766,137200,1241657,109612,2233049,2008,420865,9084,967414,16408,1211101,35335,1578526,60561,1896937,81349,2085832,148478,6143096,5521,3764885,23374,5012640,40110,5422581,74899,5838052,112136,6056389,132638,6117603,73065,1856651,1635,270194,8567,675274,15938,959311,33671,1396954,52826,1688313,62214,1787104,151020,4967568,1813,155245,11629,846103,24155,1569254,57944,3045436,99745,4276088,123267,4705768,32473,2768878,3515,1774699,10415,2422040,14415,2572298,21043,2715761,26757,2779171,29728,2783819,7163533,2356441,3792053,4634726,5909941,6825354,7129965
16,ID,Idaho,808466,8085.00,40423.00,80847.0,202117.00,404233.0,606350.00,624720.1,231578.75,157750.5,93375.75,49149,25050,74515982,17387080,28551555,36130205,50586302,64461953,71792091,648030,40919699,6236,2844587,32264,8193123,65324,12910863,165206,22860135,332723,33079457,504340,38935808,246993,587005,7360,256403,31642,358052,55704,406846,111498,479449,174107,535526,211212,562883,153704,1373315,5978,555002,24927,853556,42713,994017,79008,1171629,115455,1295153,135375,1340950,141234,2110270,2175,255346,10354,619532,19805,852743,45034,1234245,79776,1647724,106554,1913191,175503,11308241,7110,7422701,29716,9515927,50154,10186392,90557,10821861,131779,11155874,155028,11257157,90096,2112567,1491,143369,8265,565466,16161,903616,36558,1458479,60117,1843057,74463,2005832,164564,4805674,1405,118576,9320,602883,20972,1222880,56084,2663881,102532,3969869,132882,4512923,68076,8249940,5730,5373528,18805,7106270,27810,7612657,42647,8038170,56217,8223033,62993,8264630,9551658,4185157,6072581,7046881,8342088,9219030,9522475
17,IL,Illinois,5679636,56796.00,283982.00,567964.0,1419909.00,2839818.0,4259727.00,695128.25,261161,178108,101656,52097,25969,593908357,154791649,242284363,302487107,415336588,519948772,573974183,4570959,356530433,47589,44630608,244211,100225738,489150,142248089,1212764,222880226,2411954,300947015,3617045,343167408,1848901,4293675,52674,2570650,225480,3043651,403177,3298437,842179,3715790,1328965,4040890,1609414,4180508,1329585,15330566,50602,7367607,219299,10519501,380985,11928540,719339,13687852,1047206,14768538,1204512,15117280,968652,13548897,14126,2142202,63428,4783147,116259,6197629,257753,8295038,454156,10335641,651957,11892282,1300371,82676830,52051,63929826,221133,73023896,379183,76458307,703853,80115343,1020677,81950485,1178527,82469384,649741,17001078,10997,1649148,62441,5185931,122552,7745349,277935,12175238,451338,15215280,548421,16319197,1152399,37331997,9505,787972,62871,4646744,144087,9840556,398625,21791921,733960,31842863,944322,35454307,374228,41032944,36355,28853485,104197,36138437,149472,37960127,228434,39757906,301454,40795022,344882,41101787,89812877,40234949,57141797,66072274,78591792,87115593,89585617
